source_path	destination_path	source_sha256	destination_sha256	transformed	status	notes
.env.example	.env.example	d7972bdf77c9a7e5cab129ba54e6fa325de18a4925a9c602673125a40540c8d1	d7972bdf77c9a7e5cab129ba54e6fa325de18a4925a9c602673125a40540c8d1	no	PASS	byte-identical copy
scripts/experiments/run_article_revision_analyses_clearml.py	scripts/experiments/run_article_revision_analyses_clearml.py	c9dd2e3cb8a371d737414faf3c1b42f4d173da52d50ed65256b8f19732193580	c9dd2e3cb8a371d737414faf3c1b42f4d173da52d50ed65256b8f19732193580	no	PASS	byte-identical copy
configs/experiment_config_article_revision.yaml	configs/canonical/article_revision.yaml	afc1d8d1864b1c5ce6036eeff603123b8b6bb4fd70b6abc44fee7e446f9d1710	afc1d8d1864b1c5ce6036eeff603123b8b6bb4fd70b6abc44fee7e446f9d1710	no	PASS	byte-identical copy
scripts/preprocessing/add_plurality_cdc2022.py	scripts/preprocessing/add_plurality_cdc2022.py	c1f9a166b309bfddecdeba7f9d0aaa30d840468b140e953edd0b07c43116dd56	c1f9a166b309bfddecdeba7f9d0aaa30d840468b140e953edd0b07c43116dd56	no	PASS	byte-identical copy
scripts/preprocessing/preprocess_harmonize_cdc_2022_2023.py	scripts/preprocessing/preprocess_harmonize_cdc_2022_2023.py	6fe392d216631e0abb4fe289940aeb10acd7e3ab086089adf191a5e4a8cb422c	6fe392d216631e0abb4fe289940aeb10acd7e3ab086089adf191a5e4a8cb422c	no	PASS	byte-identical copy
scripts/preprocessing/audit_cdc_2022_raw_coordinates.py	scripts/preprocessing/audit_cdc_2022_raw_coordinates.py	e99b0c4a98401724e57d759a10b9d2dc02f62a46188cfea0b2363ce58f669cf0	e99b0c4a98401724e57d759a10b9d2dc02f62a46188cfea0b2363ce58f669cf0	no	PASS	byte-identical copy
scripts/preprocessing/extractor.py	scripts/preprocessing/extractor.py	0faabaeba8573ded5558d6c7d507626717fe0cd8bb7d6d6879ae6129ecf01d0c	0faabaeba8573ded5558d6c7d507626717fe0cd8bb7d6d6879ae6129ecf01d0c	no	PASS	byte-identical copy
scripts/preprocessing/build_feature_timing_and_cohorts.py	scripts/preprocessing/build_feature_timing_and_cohorts.py	4c4333e50d1176fa702eb1a21cadf9ee4b778baff058dfe1a74aa220fef5b5c4	4c4333e50d1176fa702eb1a21cadf9ee4b778baff058dfe1a74aa220fef5b5c4	no	PASS	byte-identical copy
metadata/design/feature_sets.json	metadata/design/feature_sets.json	d4de38fcead61caecdd6f75bb82ca99ecc368d22e34639df9b400fbebbdc0888	d4de38fcead61caecdd6f75bb82ca99ecc368d22e34639df9b400fbebbdc0888	no	PASS	byte-identical copy
metadata/design/feature_timing.csv	metadata/design/feature_timing.csv	d4a28a85476b70cfad2588beb01bf45a5b09bd80d0dd7042d40bd5e3335770ea	d4a28a85476b70cfad2588beb01bf45a5b09bd80d0dd7042d40bd5e3335770ea	no	PASS	byte-identical copy
