availability_target_fraction,availability_relation,model_quality,nominal_fraction,replicates,mean_c00_capture,q025_c00_capture,q975_c00_capture,mean_c10_capture,q025_c10_capture,q975_c10_capture,mean_c01_capture,q025_c01_capture,q975_c01_capture,mean_c11_capture,q025_c11_capture,q975_c11_capture,mean_naive_top_fraction_effect,q025_naive_top_fraction_effect,q975_naive_top_fraction_effect,mean_availability_effect_at_all_budget,q025_availability_effect_at_all_budget,q975_availability_effect_at_all_budget,mean_shapley_availability_effect,q025_shapley_availability_effect,q975_shapley_availability_effect,mean_shapley_capacity_effect,q025_shapley_capacity_effect,q975_shapley_capacity_effect,mean_interaction_effect,q025_interaction_effect,q975_interaction_effect,mean_total_four_cell_effect,q025_total_four_cell_effect,q975_total_four_cell_effect,mean_distortion_top_fraction_minus_fixed_budget,q025_distortion_top_fraction_minus_fixed_budget,q975_distortion_top_fraction_minus_fixed_budget,sign_reversal,fixed_budget_interval_below_zero,fixed_budget_interval_above_zero,interaction_abs_mean,interaction_abs_q975,relation_short,row_label,quality_q
0.5,higher_risk_less_available,good,0.05,100,0.055060847108826215,0.051247951037717634,0.05847560542028828,0.09777017662715227,0.09358613389775136,0.10235150447812716,0.09171828801624886,0.08705299963373307,0.09695236699617489,0.16866877619006723,0.16232312834530926,0.1740960413453089,0.11360792908124093,0.10749313371553587,0.11965221156089412,0.07695048817381829,0.06947734642543381,0.08352702252664464,0.05982990884607216,0.053880957420445914,0.06584202471746763,0.05377802023516873,0.051516396829309745,0.056365603903354065,0.034241158655492245,0.027267673372856547,0.04041326734687095,0.11360792908124093,0.10749313371553587,0.11965221156089412,0.0,0.0,0.0,False,False,True,0.034241158655492245,0.04041326734687095,risk ↓ availability,50% / risk ↓ availability,Good / 5%
0.5,higher_risk_less_available,good,0.1,100,0.0917664383319419,0.08705760913041499,0.0970019600807961,0.1687566311908682,0.16299305452195065,0.17407024756327094,0.1474016420707176,0.1423983701538807,0.1547411638809672,0.2828502846684124,0.2755372548296208,0.2903125701917846,0.1910838463364704,0.1837298364921813,0.19862240172850373,0.1354486425976947,0.12592852981786226,0.14404790062547823,0.1062194177283105,0.09884922855036266,0.11331160820028408,0.08486442860815989,0.0814636565385929,0.08868066159981282,0.05845844973876838,0.0512669848672591,0.06514218161588493,0.1910838463364704,0.1837298364921813,0.19862240172850373,0.0,0.0,0.0,False,False,True,0.05845844973876838,0.06514218161588493,risk ↓ availability,50% / risk ↓ availability,Good / 10%
0.5,higher_risk_less_available,good,0.2,100,0.1474720211988088,0.14246378188067815,0.15484862432190258,0.282974261766519,0.27524115249826137,0.291356325500598,0.22569068345941798,0.21744657691914998,0.2347626033956548,0.4560997646332183,0.4460233799441976,0.46724853258142796,0.3086277434344095,0.2995850523218662,0.3204201646574624,0.23040908117380032,0.21902361126654518,0.24449009890937828,0.1829556608707553,0.1736552697398327,0.1934275890975413,0.1256720825636542,0.12168027072585977,0.12958500347580643,0.09490684060609013,0.08739142922208865,0.10228259596176736,0.3086277434344095,0.2995850523218662,0.3204201646574624,0.0,0.0,0.0,False,False,True,0.09490684060609013,0.10228259596176736,risk ↓ availability,50% / risk ↓ availability,Good / 20%
0.5,higher_risk_less_available,medium,0.05,100,0.04318636321716452,0.0397417106407921,0.04637107368725515,0.07639621052733737,0.07281917318632825,0.07969904392325854,0.074912431597647,0.07089490144747793,0.07980752215424286,0.13550239683604043,0.13033514518531167,0.14011890409495734,0.09231603361887583,0.08767899390815753,0.09723900386116092,0.06058996523839335,0.05429844051242296,0.06638386512666729,0.04689990627428307,0.04240332755991839,0.0519125692382079,0.045416127344592716,0.04328507878077052,0.04798291245268737,0.027380117928220527,0.021820995595015397,0.03227499987421785,0.09231603361887583,0.08767899390815753,0.09723900386116092,0.0,0.0,0.0,False,False,True,0.027380117928220527,0.03227499987421785,risk ↓ availability,50% / risk ↓ availability,Medium / 5%
0.5,higher_risk_less_available,medium,0.1,100,0.07494879330717835,0.0708579656796293,0.07980752215424286,0.13553188637718055,0.13019300898879144,0.14019754015946967,0.12601549069361123,0.12094074491251275,0.13186574871129367,0.23446568191672615,0.22743909589467423,0.24144455213652355,0.1595168886095478,0.15287578632367,0.16687837376550532,0.10845019122311489,0.10040144708599662,0.11815580217088788,0.08451664214655852,0.0782198123874917,0.09174847280422664,0.0750002464629892,0.07154710213134476,0.07754346073670436,0.04786709815311269,0.040758068417899786,0.05394097171021304,0.1595168886095478,0.15287578632367,0.16687837376550532,0.0,0.0,0.0,False,False,True,0.04786709815311269,0.05394097171021304,risk ↓ availability,50% / risk ↓ availability,Medium / 10%
0.5,higher_risk_less_available,medium,0.2,100,0.12608592056779458,0.12091253711535649,0.1321507162502216,0.23455262144676742,0.22716922851521498,0.24174291216841173,0.20443033282475803,0.19777504798287374,0.21258841248688568,0.39427664950713953,0.38335864369881434,0.40567384436208315,0.2681907289393449,0.25870474636761387,0.28072463191302316,0.18984631668238147,0.17770903627498016,0.20275191710311877,0.14915650878067713,0.14109632796343158,0.1587324495140815,0.11903422015866771,0.11459463185954585,0.12312276284839398,0.0813796158034086,0.07222105945606334,0.08863648323891785,0.2681907289393449,0.25870474636761387,0.28072463191302316,0.0,0.0,0.0,False,False,True,0.0813796158034086,0.08863648323891785,risk ↓ availability,50% / risk ↓ availability,Medium / 20%
0.5,higher_risk_less_available,weak,0.05,100,0.03080180534118663,0.02830515473145134,0.033299134277718107,0.05291688346175128,0.049430165269170476,0.056337985665468035,0.0562936987328505,0.05310764295240066,0.06007257401782108,0.09726899226739658,0.09251929267688702,0.1012698813585907,0.06646718692620991,0.06232683726368097,0.07116026514512198,0.04097529353454604,0.03624598847957466,0.04583595187392698,0.03154518582755532,0.027518541207343095,0.035337111631429045,0.03492200109865452,0.033098185762352725,0.037139479639387595,0.018860215413981377,0.015103437477000603,0.02267708019532395,0.06646718692620991,0.06232683726368097,0.07116026514512198,0.0,0.0,0.0,False,False,True,0.018860215413981377,0.02267708019532395,risk ↓ availability,50% / risk ↓ availability,Weak / 5%
0.5,higher_risk_less_available,weak,0.1,100,0.05632687291747076,0.05303724561282113,0.060083913060842084,0.09734069346215285,0.09242349263439391,0.10133418409540267,0.10100014776583904,0.09633682203106525,0.10585882436735873,0.176908695904144,0.1707873588591903,0.18320165047244727,0.12058182298667317,0.1155260730656769,0.12664832470587675,0.07590854813830489,0.06896016145085845,0.08310641789309102,0.05846118434149348,0.05367394716149854,0.06358941372779499,0.06212063864517964,0.05978451657317654,0.06529372127464989,0.03489472759362276,0.029126973837913007,0.04132787640929668,0.12058182298667317,0.1155260730656769,0.12664832470587675,0.0,0.0,0.0,False,False,True,0.03489472759362276,0.04132787640929668,risk ↓ availability,50% / risk ↓ availability,Weak / 10%
0.5,higher_risk_less_available,weak,0.2,100,0.10107044749774323,0.0964857731431104,0.10620992386311454,0.17696252199999057,0.17120343342853736,0.1831150169476014,0.17680436623793824,0.17201417423799403,0.18308611233547262,0.3148797154474993,0.307272838569996,0.32442555296529074,0.21380926794975605,0.20611539316609162,0.22252388649172308,0.13807534920956105,0.12920869949843353,0.1472938398708191,0.10698371185590416,0.0994757863205192,0.1138657886976859,0.10682555609385182,0.10305590685909831,0.11161728302259313,0.06218327470731369,0.054713299163393375,0.07061995731735621,0.21380926794975605,0.20611539316609162,0.22252388649172308,0.0,0.0,0.0,False,False,True,0.06218327470731369,0.07061995731735621,risk ↓ availability,50% / risk ↓ availability,Weak / 20%
0.5,higher_risk_more_available,good,0.05,100,0.09702612234375527,0.09262701971622361,0.10145236338657572,0.09772262774990507,0.09361462139183056,0.10221426283630067,0.16666091550816353,0.16015558040357805,0.1719513182314324,0.16866877619006723,0.16232312834530926,0.1740960413453089,0.0716426538463119,0.06758129302635474,0.07594267498824532,0.002007860681903619,-0.0011709201752605149,0.004784342324957753,0.0013521830440266763,-0.0006043700946042375,0.0033859381303716404,0.07029047080228518,0.06661305041632636,0.07387178028124392,0.001311355275753858,-0.002118283018447245,0.004210525342539959,0.0716426538463119,0.06758129302635474,0.07594267498824532,0.0,0.0,0.0,False,False,False,0.001311355275753858,0.004210525342539959,risk ↑ availability,50% / risk ↑ availability,Good / 5%
0.5,higher_risk_more_available,good,0.1,100,0.16661698290510127,0.15928657616892905,0.17187335216061128,0.16863332541367995,0.16175202598897181,0.1736841300336944,0.27661694348920857,0.26755950886860874,0.2839009449280532,0.2828502846684124,0.2755372548296208,0.2903125701917846,0.11623330176331105,0.11125958487906591,0.12247965843084736,0.006233341179203759,0.000735313961983195,0.010700296578004058,0.004124841843891204,0.0009682844563472924,0.0070654668628332695,0.11210845991941978,0.10723121765246445,0.11734862110671143,0.004216998670625062,-0.0012059959619308324,0.008512186185587887,0.11623330176331105,0.11125958487906591,0.12247965843084736,0.0,0.0,0.0,False,False,True,0.004216998670625062,0.008512186185587887,risk ↑ availability,50% / risk ↑ availability,Good / 10%
0.5,higher_risk_more_available,good,0.2,100,0.2765720228385008,0.2675068720127836,0.2830275609973617,0.28279554388376166,0.27533971866136014,0.29047940915492665,0.43605125655238214,0.42670092510785057,0.4439582399898985,0.4560997646332183,0.4460233799441976,0.46724853258142796,0.17952774179471756,0.17282792931957222,0.18725832041756563,0.02004850808083625,0.01203577658058615,0.02697646319164534,0.013136014563048512,0.00869283632274353,0.018003528115776095,0.16639172723166898,0.16202989006178892,0.17180394170920865,0.013824987035575425,0.007250208028404017,0.02075795139715709,0.17952774179471756,0.17282792931957222,0.18725832041756563,0.0,0.0,0.0,False,False,True,0.013824987035575425,0.02075795139715709,risk ↑ availability,50% / risk ↑ availability,Good / 20%
0.5,higher_risk_more_available,medium,0.05,100,0.0782507525424028,0.0741073103352284,0.0819861888375081,0.07634063363975263,0.07272993061513779,0.07999740703596024,0.1383941125469633,0.1332032717603724,0.1427183208379447,0.13550239683604043,0.13033514518531167,0.14011890409495734,0.05725164429363758,0.05394040230057584,0.06084244476444191,-0.0028917157109228124,-0.006013420052708298,0.0004152179421917099,-0.002400917306786465,-0.0046829574262547725,-0.0003439806169357876,0.059652561600424106,0.05643619853780367,0.06261980760560715,-0.000981596808272666,-0.00412109086729418,0.0028207359438766695,0.05725164429363758,0.05394040230057584,0.06084244476444191,0.0,0.0,0.0,True,False,False,0.000981596808272666,0.00412109086729418,risk ↑ availability,50% / risk ↑ availability,Medium / 5%
