availability_target_fraction,availability_relation,model_quality,nominal_fraction,mean_naive_top_fraction_effect,q025_naive_top_fraction_effect,q975_naive_top_fraction_effect,mean_availability_effect_at_all_budget,q025_availability_effect_at_all_budget,q975_availability_effect_at_all_budget,mean_total_four_cell_effect,q025_total_four_cell_effect,q975_total_four_cell_effect,mean_shapley_availability_effect,mean_shapley_capacity_effect,mean_interaction_effect,sign_reversal,fixed_budget_interval_below_zero
0.5,higher_risk_more_available,medium,0.05,0.05725164429363758,0.05394040230057584,0.06084244476444191,-0.0028917157109228124,-0.006013420052708298,0.0004152179421917099,0.05725164429363758,0.05394040230057584,0.06084244476444191,-0.002400917306786465,0.059652561600424106,-0.000981596808272666,True,False
0.5,higher_risk_more_available,medium,0.1,0.09609501743764733,0.09164722074904665,0.10198293933853082,-0.0040634329787518,-0.009121373744312994,0.0009605163853795781,0.09609501743764733,0.09164722074904665,0.10198293933853082,-0.0034881648005688094,0.09958318223821622,-0.00115053635636595,True,False
0.5,higher_risk_more_available,medium,0.2,0.15579831142360248,0.149599651314652,0.1630055101571901,-0.001539634936971409,-0.008130859961896206,0.005275872160937933,0.15579831142360248,0.149599651314652,0.1630055101571901,-0.0028260981185738937,0.15862440954217638,0.0025729263632049944,True,False
0.5,higher_risk_more_available,weak,0.05,0.039226003224773105,0.03596594355549574,0.04266200899034824,-0.009744279554426865,-0.013268337656512356,-0.0056162865557408785,0.039226003224773105,0.03596594355549574,0.04266200899034824,-0.0074513566051606925,0.04667735982993384,-0.004585845898532303,True,True
0.5,higher_risk_more_available,weak,0.1,0.06991484965354687,0.06564498022217431,0.07532227706574954,-0.017646382951429705,-0.02301335692855343,-0.012195740928615216,0.06991484965354687,0.06564498022217431,0.07532227706574954,-0.013692784000732237,0.08360763365427916,-0.007907197901394885,True,True
0.5,higher_risk_more_available,weak,0.2,0.12036844765482947,0.11621512754520583,0.12635909156752378,-0.030449284583418033,-0.03735179670154603,-0.02284481386086911,0.12036844765482947,0.11621512754520583,0.12635909156752378,-0.024055236814736713,0.14442368446956622,-0.01278809553736258,True,True
0.7,higher_risk_more_available,medium,0.05,0.03309582039338514,0.030112529189566244,0.03579634992666489,-0.0014616311509192184,-0.003932486555388765,0.0006072060155223241,0.03309582039338514,0.030112529189566244,0.03579634992666489,-0.0013579213279161636,0.034453741721301355,-0.00020741964600609584,True,False
0.7,higher_risk_more_available,medium,0.1,0.05522918815567774,0.05102951819177377,0.05928151205762574,-0.002780576452209184,-0.006264996049222725,0.00040767839965455833,0.05522918815567774,0.05102951819177377,0.05928151205762574,-0.0024391451602716707,0.05766833331594946,-0.0006828625838749997,True,False
0.7,higher_risk_more_available,medium,0.2,0.08788368319907398,0.08265170231365111,0.0929150217633363,-0.003239746052812456,-0.007818610768016683,0.0011652969519057813,0.08788368319907398,0.08265170231365111,0.0929150217633363,-0.003400771076877086,0.09128445427595117,0.00032205004812926126,True,False
0.7,higher_risk_more_available,weak,0.05,0.022498195433498753,0.020221012966482984,0.025233803210575625,-0.004946298324576208,-0.007472668404675744,-0.0027655421119675305,0.022498195433498753,0.020221012966482984,0.025233803210575625,-0.004204691769732706,0.026702887203231506,-0.0014832131096869925,True,True
0.7,higher_risk_more_available,weak,0.1,0.03958027127269566,0.03594431576025217,0.04295583937026492,-0.009687910745679814,-0.01290025342620542,-0.005483892094779367,0.03958027127269566,0.03594431576025217,0.04295583937026492,-0.008340051303730313,0.04792032257642602,-0.0026957188838989572,True,True
0.7,higher_risk_more_available,weak,0.2,0.06709140086496278,0.0638860365967593,0.07043612095253689,-0.01741307849167093,-0.023187725533268966,-0.012008934502457764,0.06709140086496278,0.0638860365967593,0.07043612095253689,-0.01509800319374587,0.0821894040587087,-0.004630150595850089,True,True
0.9,higher_risk_more_available,medium,0.05,0.010809512876236415,0.009219664781498015,0.0124108255239971,-0.0004169503070290889,-0.00146453594406762,0.0006560185943948218,0.010809512876236415,0.009219664781498015,0.0124108255239971,-0.00040717847135538876,0.011216691347591836,-1.954367134740849e-05,True,False
0.9,higher_risk_more_available,medium,0.1,0.017801893478653776,0.015688173105791965,0.02010069349014763,-0.0007533134818053512,-0.0023634625087704973,0.0010031667007241974,0.017801893478653776,0.015688173105791965,0.02010069349014763,-0.0007573739234529354,0.018559267402106748,8.12088329518058e-06,True,False
0.9,higher_risk_more_available,medium,0.2,0.027972673148277834,0.02467698519110497,0.03120590212574532,-0.0012684600234466673,-0.0032327563973229474,0.0010082452321085625,0.027972673148277834,0.02467698519110497,0.03120590212574532,-0.0011744855673936556,0.02914715871567153,-0.00018794891210601535,True,False
0.9,higher_risk_more_available,weak,0.05,0.007308140905209905,0.005853335173838447,0.008726261260244082,-0.001452519891761725,-0.0028231711264442277,-9.969366507730295e-05,0.007308140905209905,0.005853335173838447,0.008726261260244082,-0.0013304075338296808,0.008638548439039636,-0.00024422471586407833,True,True
0.9,higher_risk_more_available,weak,0.1,0.012702859639841649,0.01060599687269474,0.014728294286932569,-0.002679843053464967,-0.004333233890214715,-0.000999547314842485,0.012702859639841649,0.01060599687269474,0.014728294286932569,-0.002606207516751908,0.015309067156593607,-0.0001472710734261121,True,True
0.9,higher_risk_more_available,weak,0.2,0.021012554537956717,0.019087786797684143,0.023343334027188647,-0.005225533164912164,-0.007846422999739307,-0.0029212292871947584,0.021012554537956717,0.019087786797684143,0.023343334027188647,-0.005050477981928914,0.026063032519885683,-0.0003501103659664805,True,True
