replicate,availability_target_fraction,availability_relation,availability_slope,availability_intercept,model_quality,score_noise_sd,expected_score_latent_correlation,nominal_fraction,realized_available_n,realized_available_fraction,available_event_n,full_population_event_n,event_availability_ceiling,budget_available_top_fraction,budget_all_top_fraction,naive_top_fraction_effect,availability_effect_at_all_budget,capacity_effect_within_available_subset,distortion_top_fraction_minus_fixed_budget,identity_error,naive_delta_true_positive_n,availability_delta_true_positive_n,capacity_delta_true_positive_n,tp_identity_error
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.05,50137,0.50137,3277,9883,0.3315794799150056,2507,5000,0.11504603865223109,0.07841748456946271,0.03662855408276839,0.03662855408276838,-6.938893903907228e-18,1137,775,362,0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.1,50137,0.50137,3277,9883,0.3315794799150056,5014,10000,0.19730850956187396,0.138723059799656,0.05858544976221795,0.05858544976221797,1.3877787807814457e-17,1950,1371,579,0
1,0.5,higher_risk_less_available,-1.0,0.0,good,0.5,0.8944271909999159,0.2,50137,0.50137,3277,9883,0.3315794799150056,10027,20000,0.308509561873925,0.23444298289992918,0.07406657897399577,0.0740665789739958,2.7755575615628914e-17,3049,2317,732,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.05,50069,0.50069,4972,9883,0.5030861074572498,2503,5000,0.08651219265405241,0.027724375189719708,0.0587878174643327,0.0587878174643327,0.0,855,274,581,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.1,50069,0.50069,4972,9883,0.5030861074572498,5007,10000,0.14671658403318832,0.05757361125164426,0.08914297278154407,0.08914297278154407,0.0,1450,569,881,0
1,0.5,risk_independent,0.0,0.0,good,0.5,0.8944271909999159,0.2,50069,0.50069,4972,9883,0.5030861074572498,10014,20000,0.2277648487301427,0.10755843367398565,0.12020641505615703,0.12020641505615703,0.0,2251,1063,1188,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.05,49919,0.49919,6573,9883,0.6650814530001011,2496,5000,0.07214408580390569,0.002529596276434287,0.0696144895274714,0.0696144895274714,0.0,713,25,688,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.1,49919,0.49919,6573,9883,0.6650814530001011,4992,10000,0.12212890822624711,0.010421936658909281,0.11170697156733783,0.11170697156733783,0.0,1207,103,1104,0
1,0.5,higher_risk_more_available,1.0,0.0,good,0.5,0.8944271909999159,0.2,49919,0.49919,6573,9883,0.6650814530001011,9984,20000,0.1812202772437519,0.022867550338965925,0.15835272690478597,0.15835272690478597,0.0,1791,226,1565,0
1,0.7,higher_risk_less_available,-1.0,1.0184006519909872,good,0.5,0.8944271909999159,0.05,70255,0.70255,5387,9883,0.5450774056460589,3513,5000,0.08155418395224122,0.054133360315693616,0.027420823636547603,0.027420823636547603,0.0,806,535,271,0
